ID	Địa chỉ	Diện tích	Số phòng ngủ	Số toilet	Nội thất	Mức giá	Ngày đăng tin
41278673.0	14	20.0	1.0	1.0	2	4.0	2024-10-22
41290558.0	14	60.0	2.0	2.0	0	10.0	2024-10-23
41198378.0	3	45.0	1.0	1.0	0	7.3	2024-10-23
41098096.0	17	28.0	1.0	1.0	0	2.8	2024-10-23
41298012.0	1	30.0	1.0	1.0	2	4.8	2024-10-23
41203985.0	17	24.0	1.0	1.0	0	3.4	2024-10-23
40869254.0	13	60.0	1.0	1.0	2	7.7	2024-10-23
41012551.0	14	24.0	5.0	1.0	0	4.5	2024-10-23
41292943.0	14	18.0	1.0	1.0	0	3.2	2024-10-23
41292449.0	16	23.0	1.0	1.0	0	3.6	2024-10-23
38022975.0	17	20.0	1.0	1.0	1	4.0	2024-10-22
41284547.0	17	30.0	1.0	1.0	1	2.8	2024-10-22
41282487.0	5	15.0	1.0	1.0	1	3.6	2024-10-22
41259804.0	14	15.0	1.0	1.0	3	4.0	2024-10-19
41281580.0	2	51.0	1.0	1.0	0	6.0	2024-10-22
41272117.0	14	2.0	1.0	1.0	0	3.5	2024-10-21
41271877.0	14	25.0	1.0	1.0	0	3.8	2024-10-21
40989287.0	2	38.0	1.0	1.0	2	8.5	2024-10-20
41161711.0	14	20.0	1.0	1.0	0	4.5	2024-10-20
41262569.0	14	30.0	1.0	1.0	2	5.0	2024-10-19
40825448.0	13	20.0	1.0	1.0	2	4.4	2024-10-19
41254829.0	3	29.0	1.0	1.0	2	7.6	2024-10-18
39648699.0	2	20.0	1.0	1.0	1	3.7	2024-10-18
41140209.0	13	35.0	1.0	1.0	3	4.9	2024-10-18
41245229.0	2	20.0	1.0	1.0	2	6.0	2024-10-17
38799887.0	2	35.0	1.0	1.0	2	5.4	2024-10-17
40242256.0	2	40.0	1.0	1.0	2	5.9	2024-10-17
40681659.0	3	50.0	2.0	1.0	2	5.9	2024-10-17
41237838.0	13	27.0	1.0	1.0	0	4.9	2024-10-17
41237431.0	1	40.0	1.0	1.0	2	6.5	2024-10-17
41233117.0	7	30.0	1.0	1.0	2	4.7	2024-10-16
40702603.0	1	15.0	1.0	1.0	0	2.5	2024-10-16
39178553.0	1	20.0	1.0	1.0	0	3.3	2024-10-16
41301082.0	14	35.0	1.0	1.0	2	5.0	2024-10-23
41300897.0	7	40.0	1.0	1.0	2	7.0	2024-10-23
41300896.0	13	53.0	1.0	1.0	2	7.3	2024-10-23
41300987.0	8	30.0	1.0	1.0	2	4.5	2024-10-23
41182118.0	8	20.0	1.0	1.0	0	1.5	2024-10-11
41300964.0	3	40.0	1.0	1.0	0	7.0	2024-10-23
40148202.0	13	40.0	1.0	1.0	2	1.2	2024-09-28
41300940.0	9	25.0	1.0	1.0	2	4.0	2024-10-23
41266825.0	9	35.0	1.0	1.0	2	4.0	2024-10-20
41300812.0	2	25.0	1.0	1.0	2	5.6	2024-10-23
41300807.0	13	20.0	1.0	1.0	0	3.8	2024-10-23
40628473.0	2	30.0	1.0	1.0	2	5.8	2024-10-23
39652525.0	2	25.0	1.0	1.0	2	6.0	2024-09-26
39652228.0	2	18.0	1.0	1.0	2	4.5	2024-10-12
41300746.0	9	30.0	1.0	1.0	1	3.6	2024-10-23
40169114.0	2	30.0	1.0	1.0	2	5.8	2024-10-13
41241525.0	2	28.0	1.0	1.0	2	5.2	2024-10-17
41099231.0	2	30.0	1.0	1.0	0	9.5	2024-10-23
36287770.0	2	35.0	1.0	1.0	2	6.5	2024-10-23
41266589.0	2	15.0	1.0	1.0	2	4.8	2024-10-20
41300602.0	8	30.0	1.0	1.0	2	6.4	2024-10-23
41250578.0	1	30.0	1.0	1.0	2	5.6	2024-10-18
39511599.0	2	30.0	1.0	1.0	2	4.0	2024-10-15
41300569.0	14	40.0	1.0	1.0	2	5.0	2024-10-23
39694798.0	15	20.0	1.0	1.0	1	3.0	2024-09-30
41281818.0	16	25.0	1.0	1.0	1	3.9	2024-10-22
41088471.0	14	35.0	1.0	1.0	2	3.6	2024-10-23
39712015.0	9	16.0	1.0	1.0	2	3.45	2024-10-11
40056868.0	2	35.0	1.0	1.0	2	6.0	2024-10-19
41300382.0	2	21.0	1.0	1.0	1	3.4	2024-10-23
41300438.0	3	50.0	2.0	1.0	2	11.0	2024-10-23
41284352.0	1	30.0	1.0	1.0	2	3.2	2024-10-22
41300338.0	8	30.0	1.0	1.0	2	5.5	2024-10-23
41300306.0	1	40.0	1.0	1.0	0	1.9	2024-10-23
41300299.0	3	30.0	1.0	1.0	0	8.0	2024-10-23
40699245.0	9	35.0	1.0	1.0	2	4.0	2024-10-23
41300275.0	8	25.0	1.0	1.0	0	3.7	2024-10-23
41300259.0	8	40.0	1.0	1.0	2	6.0	2024-10-23
40636139.0	4	45.0	1.0	1.0	2	6.5	2024-10-23
41162287.0	1	20.0	1.0	1.0	0	4.2	2024-10-23
41300006.0	2	30.0	1.0	1.0	2	5.0	2024-10-23
41299991.0	2	30.0	1.0	1.0	2	6.6	2024-10-23
41299926.0	2	50.0	1.0	1.0	2	7.7	2024-10-23
